,,proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos,,proximal_pos, distal_pos, proximal_vel, distal_vel,,proximal_pos, distal_pos, proximal_vel, distal_vel,,,,
1,0.02,-6292,10590,-13,-260,0.554134011,,-6292,10590,-13,-260,,-4388,10300,,,,Measured,,
2,0.03,-6292,10217,-13,-629,0.554134011,,-6292,10341.33333,-13.33333333,-506,,-4358.385321,10076.92049,,,,,,
3,0.04,-6292,10217,-14,-629,0.554134011,,-6292.2,10096.8,-14.2,-748.8,,-4328.970642,9857.974312,,,,,Start,End
4,0.05,-6292,9730,-14,-1113,0.554134011,,-6292.4,9811,-15,-1032.8,,-4299.555963,9597.761468,,,,Prox,-6292,-53132
5,0.06,-6293,9730,-17,-1113,0.554134011,,-6296.4,9599.8,-19.6,-1243,,-4273.941284,9412.148624,,,,Dist,10590,-55499
6,0.07,-6293,9161,-17,-1680,0.554134011,,-6300.4,9388.6,-24,-1453.2,,-4248.326606,9226.53578,,,,,,
7,0.08,-6312,9161,-36,-1680,0.554134011,,-6304.4,9132.6,-28.4,-1696.8,,-4222.711927,8996.122936,,,,,,
8,0.09,-6312,9161,-36,-1680,0.554134011,,-6362.8,8876.6,-81.2,-1940.4,,-4251.497248,8765.710092,,,,Desired,,
9,0.1,-6312,8450,-36,-2331,0.554134011,,-6421.2,8539,-134,-2223.6,,-4280.282569,8453.697248,,,,Prox,-4388,-48000
10,0.11,-6585,8450,-281,-2331,0.554134011,,-6597,8201.4,-303,-2506.8,,-4426.46789,8141.684404,,,,Dist,10300,-53000
11,0.12,-6585,7473,-281,-3096,0.554134011,,-6772.8,7605.2,-472,-2972.6,,-4572.653211,7571.07156,,,,,,
12,0.13,-7191,7473,-881,-3096,0.554134011,,-7081.8,7151.2,-774.4,-3308.2,,-4852.038532,7142.658716,,,,Number of points,,109
13,0.14,-7191,6180,-881,-4009,0.554134011,,-7336.2,6396.2,-1027.8,-3848,,-5076.823853,6413.245872,,,,,Proximal,Distal
14,0.15,-7857,6180,-1548,-4009,0.554134011,,-7712.6,5836.6,-1403.6,-4234.8,,-5423.609174,5879.233028,,,,,,
15,0.16,-7857,4675,-1548,-5030,0.551195025,,-7967.8,4946.8,-1659.4,-4838,,-5649.194495,5015.020183,,,,DeltaStart,1904,-290
16,0.17,-8467,4675,-2160,-5030,0.551195025,,-8334.2,4315.6,-2023.2,-5258.6,,-5985.979817,4409.407339,,,,DeltaEnd,3228,2789
17,0.18,-8467,3024,-2160,-6112,0.551195025,,-8567.4,3323.2,-2253.6,-5897,,-6189.565138,3442.594495,,,,,,
18,0.19,-9023,3024,-2700,-6112,0.551195025,,-8900.8,2631.8,-2531.6,-6331.2,,-6493.350459,2776.781651,,,,add,29.6146789,25.58715596
19,0.2,-9023,1218,-2700,-7201,0.551195025,,-9112.2,1540,-2687.2,-6971.4,,-6675.13578,1710.568807,,,,,,
20,0.21,-9524,1218,-2938,-7201,0.551195025,,-9411.4,778.4,-2810.8,-7395.2,,-6944.721101,974.5559633,,,,,,
21,0.22,-9524,-784,-2938,-8231,0.551195025,,-9599.4,-418.2,-2826.4,-7997.4,,-7103.106422,-196.4568807,,,,,,
22,0.23,-9963,-784,-2778,-8231,0.551195025,,-9861.8,-1253.6,-2783.8,-8381.8,,-7335.891743,-1006.269725,,,,,,
23,0.24,-9963,-2959,-2778,-9123,0.551195025,,-10024,-2543,-2693.6,-8919.2,,-7468.477064,-2270.082569,,,,I just took 10 points off the end - need to fix this up,,
24,0.25,-10335,-2959,-2487,-9123,0.551195025,,-10243.2,-3432,-2538.2,-9250.6,,-7658.062385,-3133.495413,,,,,,
25,0.26,-10335,-5229,-2487,-9888,0.551195025,,-10374.6,-4321,-2414.8,-9582,,-7759.847706,-3996.908257,,,,,,
26,0.27,-10620,-5229,-2161,-9888,0.551195025,,-10549.8,-5693.4,-2224.2,-9963,,-7905.433028,-5343.721101,,,,,,
27,0.28,-10620,-5229,-2161,-9888,0.551195025,,-10650.6,-7065.8,-2091.8,-10344,,-7976.618349,-6690.533945,,,,,,
28,0.29,-10839,-9821,-1825,-11028,0.551195025,,-10785.2,-8435.8,-1893,-10624.2,,-8081.60367,-8034.946789,,,,,,
29,0.3,-10839,-9821,-1825,-11028,0.551195025,,-10862.8,-9805.8,-1759.4,-10904.4,,-8129.588991,-9379.359633,,,,,,
30,0.31,-11008,-12079,-1493,-11289,0.551195025,,-10964.8,-11617.8,-1561.8,-11192.4,,-8201.974312,-11165.77248,,,,,,
31,0.32,-11008,-12079,-1493,-11289,0.551195025,,-11023,-12511.4,-1431.4,-11252.4,,-8230.559633,-12033.78532,,,,,,
32,0.33,-11130,-14289,-1173,-11328,0.551195025,,-11099.4,-13835.6,-1244.6,-11289.4,,-8277.344954,-13332.39817,,,,,,
33,0.34,-11130,-14289,-1173,-11328,0.551195025,,-11142,-14708.2,-1124.2,-11274.2,,-8290.330275,-14179.41101,,,,,,
34,0.35,-11221,-16442,-891,-11213,0.551195025,,-11248.6,-16022,-1008.2,-11239.8,,-8367.315596,-15467.62385,,,,,,
35,0.36,-11221,-16442,-891,-11213,0.520893931,,-11330.8,-16893.8,-956.2,-11197.6,,-8419.900917,-16313.8367,,,,,,
36,0.37,-11541,-18648,-913,-11117,0.520893931,,-11557.4,-18212.8,-1003,-11146.2,,-8616.886239,-17607.24954,,,,,,
37,0.38,-11541,-18648,-913,-11117,0.520893931,,-11765.8,-19101.2,-1106.2,-11117.8,,-8795.67156,-18470.06239,,,,,,
38,0.39,-12263,-20884,-1407,-11071,0.520893931,,-12161.8,-20422.8,-1362.6,-11070.8,,-9162.056881,-19766.07523,,,,,,
39,0.4,-12263,-20884,-1407,-11071,0.520893931,,-12493.8,-21303.2,-1614.6,-11043,,-9464.442202,-20620.88807,,,,,,
40,0.41,-13201,-23050,-2173,-10978,0.520893931,,-13017,-22598.4,-2033.2,-10988,,-9958.027523,-21890.50092,,,,,,
41,0.42,-13201,-23050,-2173,-10978,0.520893931,,-13395.8,-23446.4,-2353,-10942.2,,-10307.21284,-22712.91376,,,,,,
42,0.43,-14157,-25124,-3006,-10842,0.520893931,,-13968.4,-24693.2,-2848.2,-10864.2,,-10850.19817,-23934.12661,,,,,,
43,0.44,-14157,-25124,-3006,-10842,0.520893931,,-14353.4,-25506.8,-3190.2,-10804.8,,-11205.58349,-24722.13945,,,,,,
44,0.45,-15126,-27118,-3883,-10681,0.520893931,,-14955.2,-26701.2,-3686.4,-10686.6,,-11777.76881,-25890.95229,,,,,,
45,0.46,-15126,-27118,-3883,-10681,0.520893931,,-15365.8,-27480.8,-4016,-10595.6,,-12158.75413,-26644.96514,,,,,,
46,0.47,-16210,-29022,-4654,-10387,0.520893931,,-16018.6,-28625.8,-4444.2,-10421.2,,-12781.93945,-27764.37798,,,,,,
47,0.48,-16210,-29022,-4654,-10387,0.520893931,,-16477.6,-29372,-4697,-10279,,-13211.32477,-28484.99083,,,,,,
48,0.49,-17421,-30849,-5147,-9970,0.520893931,,-17197,-30466.6,-5022.6,-10052.6,,-13901.11009,-29554.00367,,,,,,
49,0.5,-17421,-30849,-5147,-9970,0.520893931,,-17699.6,-31180.4,-5194,-9885,,-14374.09541,-30242.21651,,,,,,
50,0.51,-18723,-32591,-5511,-9549,0.520893931,,-18202.2,-31894.2,-5365.4,-9717.4,,-14847.08073,-30930.42936,,,,,,
51,0.52,-18723,-32591,-5511,-9549,0.520893931,,-19017.4,-32575.4,-5607.6,-9551.8,,-15632.66606,-31586.0422,,,,,,
52,0.53,-18723,-32591,-5511,-9549,0.520893931,,-19832.6,-33256.6,-5849.8,-9386.2,,-16418.25138,-32241.65505,,,,,,
53,0.54,-21497,-34255,-6358,-9142,0.520893931,,-20696.2,-33918.4,-6111.6,-9234.2,,-17252.2367,-32877.86789,,,,,,
54,0.55,-21497,-34255,-6358,-9142,0.520893931,,-21559.8,-34580.2,-6373.4,-9082.2,,-18086.22202,-33514.08073,,,,,,
55,0.56,-23041,-35900,-6820,-8789,0.501394033,,-22746.6,-35572.8,-6716.2,-8879.6,,-19243.40734,-34481.09358,,,,,,
56,0.57,-23041,-35900,-6820,-8789,0.501394033,,-23378.6,-36232.6,-6889.6,-8758.4,,-19845.79266,-35115.30642,,,,,,
57,0.58,-24657,-37554,-7225,-8536,0.501394033,,-24328.6,-37228.4,-7121.6,-8608.2,,-20766.17798,-36085.51927,,,,,,
58,0.59,-24657,-37554,-7225,-8536,0.501394033,,-24969.8,-37895.2,-7261.2,-8528.6,,-21377.7633,-36726.73211,,,,,,
59,0.6,-26247,-39234,-7518,-8391,0.501394033,,-25936.2,-38895,-7455.8,-8432,,-22314.54862,-37700.94495,,,,,,
