proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-4388,10300,-22,-1017,-0.00000328
-4442.502825,10042.75706,-46,-1184.333333,-0.00000328
-4520.738983,9803.247458,-93.6,-1337.4,-0.00000328
-4594.108475,9520.071186,-136.4,-1517.2,-0.00000328
-4701.277966,9311.494915,-213,-1646.8,-0.00000328
-4793.847458,9102.918644,-275.2,-1776.4,-0.00000328
-4921.616949,8852.542373,-372,-1929,-0.00000328
-5020.786441,8602.166102,-440.4,-2081.6,-0.00000328
-5159.555932,8307.589831,-544.2,-2257.8,-0.00000328
-5311.125424,7838.613559,-646.4,-2533.2,-0.00000328
-5462.694915,7369.637288,-748.6,-2808.6,-0.00000328
-5671.664407,6838.861017,-846.8,-3104.6,-0.00000328
-5880.633898,6308.084746,-945,-3400.6,-0.00000328
-6050.00339,5718.908475,-1007.8,-3706.4,-0.00000328
-6214.972881,5304.132203,-1045.6,-3913,-0.00000328
-6379.942373,4657.355932,-1083.4,-4219.6,-0.00000328
-6493.111864,4204.779661,-1092,-4422.8,-0.00000328
-6606.281356,3500.40339,-1100.6,-4723.6,-0.00000328
-6757.250847,3008.027119,-1100.4,-4921.2,-0.00000328
-6866.020339,2240.250847,-1093,-5220,-0.00000328
-6974.789831,1704.474576,-1085.6,-5418.8,-0.00000328
-7076.559322,867.2983051,-1063,-5724.8,-0.00000328
-7178.328814,281.9220339,-1040.4,-5933.2,-0.00000328
-7271.498305,-631.8542373,-1010.6,-6257.8,-0.00000328
-7364.667797,-1270.230508,-980.8,-6481.2,-0.00000328
-7481.237288,-2262.40678,-932.6,-6826.2,-0.00000328
-7564.00678,-2953.183051,-898.2,-7064,-0.00000328
-7679.176271,-4020.759322,-817.6,-7427,-0.00000328
-7765.145763,-4759.935593,-753,-7673.8,-0.00000328
-7851.115254,-5896.111864,-688.4,-8041.2,-0.00000328
-7928.084746,-6678.488136,-622.4,-8287,-0.00000328
-8005.054237,-7865.664407,-556.4,-8637.2,-0.00000328
-8066.623729,-8676.040678,-524.8,-8862.2,-0.00000328
-8128.19322,-9893.216949,-493.2,-9165.4,-0.00000328
-8189.762712,-10713.39322,-461.6,-9348,-0.00000328
-8263.532203,-11933.16949,-452.2,-9577,-0.00000328
-8380.301695,-13136.54576,-467,-9713.6,-0.00000328
-8480.071186,-14339.92203,-493.6,-9850.2,-0.00000328
-8644.240678,-15510.09831,-570.6,-9887.2,-0.00000328
-8896.210169,-17038.07458,-720.6,-9877.6,-0.00000328
-9121.579661,-18166.45085,-868.2,-9821.6,-0.00000328
-9413.149153,-19249.82712,-1083.6,-9689.8,-0.00000328
-9704.718644,-20333.20339,-1299,-9558,-0.00000328
-10059.08814,-21368.77966,-1564.6,-9374.4,-0.00000328
-10325.65763,-22046.55593,-1757.2,-9237.4,-0.00000328
-10732.82712,-23034.1322,-2047.4,-9021.8,-0.00000328
-11030.79661,-23678.30847,-2245.6,-8870,-0.00000328
-11480.5661,-24609.68475,-2531.4,-8632.2,-0.00000328
-11803.13559,-25215.26102,-2716.6,-8467.6,-0.00000328
-12286.70508,-26075.43729,-2975.2,-8198.6,-0.00000328
-12629.67458,-26625.81356,-3136.2,-8008.2,-0.00000328
-13144.44407,-27391.38983,-3359.4,-7690.6,-0.00000328
-13507.41356,-27869.7661,-3495,-7459,-0.00000328
-14057.38305,-28540.14237,-3691,-7093.2,-0.00000328
-14446.35254,-28955.91864,-3813.6,-6831.8,-0.00000328
-14835.32203,-29548.89492,-3936.2,-6437.8,-0.00000328
-15475.89153,-29926.67119,-4126.8,-6171,-0.00000328
-16116.46102,-30470.44746,-4317.4,-5782.8,-0.00000328
-16784.63051,-30822.22373,-4501.8,-5528.8,-0.00000328
-17452.8,-31329,-4686.2,-5175.2,-0.00000328
-18326.36949,-31658.57627,-4904.8,-4954.2,-0.00000328
-18776.53898,-32130.55254,-4993.2,-4660.6,-0.00000328
-19425.10847,-32436.52881,-5093.4,-4488.4,-0.00000328
-19859.07797,-32874.90508,-5139.4,-4256.2,-0.00000328
-20500.24746,-33295.48136,-5186.2,-4083.2,-0.00000328
-21156.21695,-33716.05763,-5202,-3910.2,-0.00000328
-21812.18644,-34147.8339,-5217.8,-3796.4,-0.00000328
-22484.95593,-34579.61017,-5222.8,-3682.6,-0.00000328
-23157.72542,-34878.98644,-5227.8,-3628.8,-0.00000328
-23623.29492,-35351.36271,-5232,-3628.2,-0.00000328
-24072.26441,-35823.73898,-5231,-3627.6,-0.00000328
-24521.2339,-36286.31525,-5230,-3651.6,-0.00000328
-24945.20339,-36748.89153,-5219.8,-3675.6,-0.00000328
-25369.17288,-37344.2678,-5209.6,-3695.6,-0.00000328
-25972.34237,-37629.44407,-5171.2,-3702.8,-0.00000328
-26371.91186,-38035.02034,-5134.8,-3677.2,-0.00000328
-26940.08136,-38296.79661,-5048,-3640.4,-0.00000328
-27318.05085,-38667.57288,-4969.4,-3554,-0.00000328
-27866.62034,-38905.54915,-4845.4,-3471.6,-0.00000328
-28235.98983,-39143.52542,-4749.6,-3389.2,-0.00000328
-28783.95932,-39359.30169,-4629,-3286.2,-0.00000328
