proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-6872,12696,-661,291,0.535598636
-6872,12696,-661,291,0.535598636
-6872,12696,-661,291,0.535598636
-7450,12993,-1238,587,0.535598636
-7450,12993,-1238,587,0.535598636
-8004,13298,-1794,892,0.535598636
-8004,13298,-1794,892,0.535598636
-8509,13666,-2294,1254,0.535598636
-8509,13666,-2294,1254,0.535598636
-9006,14166,-2605,1680,0.535598636
-9006,14166,-2605,1680,0.535598636
-9573,14733,-2700,2027,0.535598636
-9573,14733,-2700,2027,0.535598636
-10230,15273,-2779,2273,0.535598636
-10230,15273,-2779,2273,0.535598636
-10887,15781,-2880,2474,0.535598636
-10887,15781,-2880,2474,0.535598636
-11492,16344,-2981,2671,0.535598636
-11492,16344,-2981,2671,0.50036788
-12090,17039,-3080,2865,0.50036788
-12090,17039,-3080,2865,0.50036788
-12737,17812,-3161,3070,0.50036788
-12737,17812,-3161,3070,0.50036788
-13471,18582,-3237,3299,0.50036788
-13471,18582,-3237,3299,0.50036788
-14267,19353,-3372,3561,0.50036788
-14267,19353,-3372,3561,0.50036788
-15065,20182,-3564,3826,0.50036788
-15065,20182,-3564,3826,0.50036788
-15857,21113,-3759,4067,0.50036788
-15857,21113,-3759,4067,0.50036788
-16649,22068,-3906,4250,0.50036788
-16649,22068,-3906,4250,0.50036788
-17473,23018,-3998,4428,0.50036788
-17473,23018,-3998,4428,0.50036788
-18342,23986,-4072,4625,0.50036788
-18342,23986,-4072,4625,0.50036788
-19201,24993,-4135,4808,0.50036788
-19201,24993,-4135,4808,0.432124376
-20024,26009,-4167,4894,0.432124376
-20024,26009,-4167,4894,0.432124376
-20793,27024,-4147,4952,0.432124376
-20793,27024,-4147,4952,0.432124376
-21533,28065,-4065,5043,0.432124376
-21533,28065,-4065,5043,0.432124376
-22264,29096,-3930,5109,0.432124376
-22975,30090,-3778,5097,0.432124376
-22975,30090,-3778,5097,0.432124376
-22975,30090,-3778,5097,0.432124376
-23640,31054,-3623,5046,0.432124376
-23640,31054,-3623,5046,0.432124376
-24260,31975,-3473,4957,0.432124376
-24260,31975,-3473,4957,0.432124376
-24824,31975,-3297,4957,0.432124376
-24824,33677,-3297,4591,0.432124376
-25333,33677,-3079,4591,0.432124376
-25333,34453,-3079,4372,0.432124376
-25757,34453,-2795,4372,0.432124376
-25757,35183,-2795,4138,0.333586812
-26110,35183,-2483,4138,0.333586812
-26110,35862,-2483,3895,0.333586812
-26398,35862,-2152,3895,0.333586812
-26398,36482,-2152,3645,0.333586812
-26623,36482,-1814,3645,0.333586812
-26623,37046,-1814,3379,0.333586812
-26793,37046,-1472,3379,0.333586812
-26793,37046,-1472,3379,0.333586812
-26910,37560,-1164,3117,0.333586812
-26910,37560,-1164,3117,0.333586812
-26986,38029,-887,2857,0.333586812
-26986,38029,-887,2857,0.333586812
-27003,38451,-615,2600,0.333586812
-27003,38451,-615,2600,0.333586812
-26996,38839,-380,2367,0.333586812
-26996,38839,-380,2367,0.333586812
-26997,39189,-210,2151,0.333586812
-26953,39505,-52,1953,0.333586812
-26953,39505,-52,1953,0.333586812
-26953,39505,-52,1953,0.193126559
-26689,39802,281,1779,0.193126559
-26689,39802,281,1779,0.193126559
-26209,40117,771,1669,0.193126559
-26209,40117,771,1669,0.193126559
-25653,40427,1321,1590,0.193126559
-25653,40427,1321,1590,0.193126559
-25128,40704,1849,1518,0.193126559
-25128,40704,1849,1518,0.193126559
-25128,40704,1849,1518,0.193126559
-24641,41153,2299,1355,0.193126559
-24641,41153,2299,1355,0.193126559
-24203,41328,2484,1217,0.193126559
-24203,41328,2484,1217,0.193126559
-23800,41470,2417,1050,0.193126559
-23800,41470,2417,1050,0.193126559
-23005,41584,2125,886,0.193126559
-23005,41584,2125,886,0.193126559
-22567,41658,2076,718,0.193126559
-22567,41658,2076,718,0.091599345
-22567,41658,2076,718,0.091599345
-22152,41710,2052,563,0.091599345
-22152,41710,2052,563,0.091599345
-22152,41710,2052,563,0.091599345
-21773,41686,2028,222,0.091599345
-21773,41686,2028,222,0.091599345
-21448,41676,1978,96,0.091599345
-21448,41676,1978,96,0.091599345
-20950,41679,1625,24,0.091599345
-20950,41679,1625,24,0.091599345
-20950,41679,1625,24,0.091599345
-20770,41679,1392,-30,0.091599345
-20770,41679,1392,-30,0.091599345
-20632,41679,1150,-32,0.091599345
-20632,41679,1150,-32,0.091599345
-20540,41679,916,-8,0.091599345
-20540,41679,916,-8,0.091599345
-20470,41677,712,1,0.091599345
-20470,41677,712,1,0.091599345
-20462,41664,497,-14,0.091599345
-20462,41664,497,-14,0.105244756
-20495,41617,282,-60,0.105244756
-20495,41617,282,-60,0.105244756
-20519,41517,119,-157,0.105244756
-20519,41517,119,-157,0.105244756
-20525,41408,17,-267,0.105244756
-20525,41408,17,-267,0.105244756
-20518,41319,-46,-355,0.105244756
-20518,41319,-46,-355,0.105244756
-20520,41259,-59,-403,0.105244756
-20520,41259,-59,-403,0.105244756
-20520,41190,-26,-427,0.105244756
-20520,41190,-26,-427,0.105244756
