proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-4838,11089,-3,186,0.552163124
-4838,11089,-3,186,0.552163124
-4848,11316,-13,412,0.552163124
-4848,11316,-13,412,0.552163124
-4848,11316,-13,412,0.552163124
-4848,11316,-13,412,0.552163124
-5036,11579,-200,676,0.552163124
-5036,11579,-200,676,0.552163124
-5036,11579,-200,676,0.552163124
-5036,11579,-200,676,0.552163124
-5514,11818,-678,909,0.552163124
-5514,11818,-678,909,0.552163124
-5514,11818,-678,909,0.552163124
-5514,11818,-678,909,0.552163124
-6184,12064,-1348,1119,0.527746618
-6184,12064,-1348,1119,0.527746618
-6184,12064,-1348,1119,0.527746618
-6184,12064,-1348,1119,0.527746618
-6853,12416,-2014,1327,0.527746618
-6853,12416,-2014,1327,0.527746618
-7465,12867,-2617,1551,0.527746618
-7465,12867,-2617,1551,0.527746618
-7465,12867,-2617,1551,0.527746618
-8606,14002,-3093,2183,0.527746618
-8606,14002,-3093,2183,0.527746618
-9283,14647,-3100,2582,0.527746618
-9283,14647,-3100,2582,0.527746618
-10024,15326,-3172,2909,0.527746618
-10024,15326,-3172,2909,0.527746618
-10745,16021,-3281,3155,0.527746618
-10745,16021,-3281,3155,0.527746618
-11445,16746,-3407,3343,0.527746618
-11445,16746,-3407,3343,0.527746618
-12184,17513,-3577,3510,0.527746618
-12184,17513,-3577,3510,0.527746618
-12184,17513,-3577,3510,0.527746618
-12965,18304,-3683,3659,0.527746618
-12965,18304,-3683,3659,0.497521818
-13753,19114,-3730,3789,0.497521818
-13753,19114,-3730,3789,0.497521818
-14532,19895,-3785,3873,0.497521818
-14532,19895,-3785,3873,0.497521818
-15299,20673,-3853,3926,0.497521818
-15299,20673,-3853,3926,0.497521818
-16049,21493,-3866,3981,0.497521818
-16049,21493,-3866,3981,0.497521818
-16049,21493,-3866,3981,0.497521818
-17521,23084,-3767,3969,0.497521818
-17521,23084,-3767,3969,0.497521818
-18224,23818,-3691,3922,0.497521818
-18224,23818,-3691,3922,0.497521818
-18224,23818,-3691,3922,0.497521818
-18872,24540,-3575,3868,0.497521818
-18872,24540,-3575,3868,0.497521818
-19481,25261,-3432,3768,0.497521818
-19481,25261,-3432,3768,0.497521818
-20044,25943,-3254,3632,0.497521818
-20044,25943,-3254,3632,0.447720766
-20584,26580,-3063,3497,0.447720766
-20584,26580,-3063,3497,0.447720766
-21129,27213,-2907,3395,0.447720766
-21129,27213,-2907,3395,0.447720766
-21129,27213,-2907,3395,0.447720766
-22150,28406,-2669,3146,0.447720766
-22150,28406,-2669,3146,0.447720766
-22616,28941,-2572,3000,0.447720766
-22616,28941,-2572,3000,0.447720766
-23062,29433,-2477,2852,0.447720766
-23062,29433,-2477,2852,0.447720766
-23483,29885,-2353,2673,0.447720766
-23483,29885,-2353,2673,0.447720766
-23860,30292,-2207,2461,0.447720766
-23860,30292,-2207,2461,0.447720766
-24203,30659,-2052,2252,0.447720766
-24203,30659,-2052,2252,0.447720766
-24203,30659,-2052,2252,0.447720766
-24507,30985,-1891,2044,0.409644008
-24507,30985,-1891,2044,0.409644008
-24786,31275,-1725,1843,0.409644008
-24786,31275,-1725,1843,0.409644008
-25049,31525,-1567,1640,0.409644008
-25049,31525,-1567,1640,0.409644008
-25282,31732,-1421,1441,0.409644008
-25282,31732,-1421,1441,0.409644008
-25477,31893,-1275,1235,0.409644008
-25477,31893,-1275,1235,0.409644008
-25640,32007,-1134,1022,0.409644008
-25640,32007,-1134,1022,0.409644008
-25774,32077,-987,802,0.409644008
-25774,32077,-987,802,0.409644008
-25882,32097,-833,573,0.409644008
-25882,32097,-833,573,0.409644008
-25882,32097,-833,573,0.409644008
-26034,32061,-557,168,0.409644008
-26034,32061,-557,168,0.409644008
-26081,32069,-441,62,0.409644008
-26081,32069,-441,62,0.409644008
-26093,32067,-320,-10,0.399963439
-26093,32067,-320,-10,0.399963439
-26104,32067,-222,-30,0.399963439
-26104,32067,-222,-30,0.399963439
-26104,32067,-134,-7,0.399963439
-26104,32067,-134,-7,0.399963439
-26104,32061,-70,0,0.399963439
-26104,32061,-70,0,0.399963439
-26104,32047,-23,-22,0.399963439
-26104,32047,-23,-22,0.399963439
-26104,32047,-23,-22,0.399963439
-26109,32025,-16,-42,0.399963439
-26109,32025,-16,-42,0.399963439
-26118,31986,-14,-80,0.399963439
-26118,31986,-14,-80,0.399963439
-26119,31949,-15,-118,0.399963439
-26119,31949,-15,-118,0.399963439
-26119,31948,-15,-113,0.399963439
-26119,31948,-15,-113,0.399963439
-26119,31959,-15,-88,0.399963439
-26119,31959,-15,-88,0.398995399
