proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-6515,2637,-1276,-5981,0.552197695
-7082,1033,-1692,-6795,0.552197695
-7082,1033,-1692,-6795,0.552197695
-7082,1033,-1692,-6795,0.552197695
-7293,-694,-1541,-7526,0.552197695
-7293,-694,-1541,-7526,0.552197695
-7293,-694,-1541,-7526,0.552197695
-7293,-694,-1541,-7526,0.552197695
-7592,-4484,-1078,-8631,0.552197695
-7592,-4484,-1078,-8631,0.545279145
-7592,-4484,-1078,-8631,0.545279145
-7592,-4484,-1078,-8631,0.545279145
-7592,-4484,-1078,-8631,0.545279145
-7592,-4484,-1078,-8631,0.545279145
-7692,-6420,-871,-9050,0.545279145
-7692,-6420,-871,-9050,0.545279145
-7692,-6420,-871,-9050,0.545279145
-7692,-6420,-871,-9050,0.545279145
-7692,-6420,-871,-9050,0.545279145
-7692,-6420,-871,-9050,0.545279145
-7756,-8362,-675,-9396,0.545279145
-7756,-8362,-675,-9396,0.545279145
-7756,-8362,-675,-9396,0.545279145
-7756,-8362,-675,-9396,0.545279145
-7925,-10342,-631,-9647,0.545279145
-7925,-10342,-631,-9647,0.545279145
-7925,-10342,-631,-9647,0.545279145
-8322,-12404,-859,-9846,0.545279145
-8322,-12404,-859,-9846,0.545279145
-8881,-14474,-1287,-9989,0.545279145
-8881,-14474,-1287,-9989,0.545279145
-9472,-16475,-1778,-10059,0.545279145
-9472,-16475,-1778,-10059,0.545279145
-10058,-18413,-2300,-10049,0.545279145
-10058,-18413,-2300,-10049,0.545279145
-10705,-20278,-2777,-9943,0.545279145
-10705,-20278,-2777,-9943,0.545279145
-10705,-20278,-2777,-9943,0.545279145
-12377,-23964,-3495,-9493,0.545279145
-12377,-23964,-3495,-9493,0.506341815
-13290,-25777,-3816,-9300,0.506341815
-13290,-25777,-3816,-9300,0.506341815
-13290,-25777,-3816,-9300,0.506341815
-14204,-27539,-4143,-9127,0.506341815
-14204,-27539,-4143,-9127,0.506341815
-14204,-27539,-4143,-9127,0.506341815
-16201,-30850,-4711,-8719,0.506341815
-16201,-30850,-4711,-8719,0.506341815
-17322,-32396,-4943,-8435,0.506341815
-17322,-32396,-4943,-8435,0.506341815
-18474,-33878,-5185,-8104,0.506341815
-18474,-33878,-5185,-8104,0.506341815
-18474,-33878,-5185,-8104,0.506341815
-19625,-35293,-5423,-7759,0.506341815
-19625,-35293,-5423,-7759,0.506341815
-20765,-36639,-5602,-7415,0.506341815
-20765,-36639,-5602,-7415,0.506341815
-21908,-37927,-5705,-7079,0.506341815
-21908,-37927,-5705,-7079,0.506341815
-23061,-39149,-5740,-6754,0.433092415
-23061,-39149,-5740,-6754,0.433092415
-24188,-40310,-5711,-6431,0.433092415
-24188,-40310,-5711,-6431,0.433092415
-25259,-41409,-5632,-6115,0.433092415
-25259,-41409,-5632,-6115,0.433092415
-26314,-42432,-5550,-5792,0.433092415
-26314,-42432,-5550,-5792,0.433092415
-27401,-43404,-5494,-5478,0.433092415
-27401,-43404,-5494,-5478,0.433092415
-28499,-44250,-5436,-5102,0.433092415
-28499,-44250,-5436,-5102,0.433092415
-29526,-44857,-5341,-4551,0.433092415
-29526,-44857,-5341,-4551,0.433092415
-30505,-45241,-5248,-3836,0.433092415
-30505,-45241,-5248,-3836,0.433092415
-31468,-45503,-5151,-3075,0.433092415
-31468,-45503,-5151,-3075,0.433092415
-32420,-45676,-5019,-2277,0.433092415
-32420,-45676,-5019,-2277,0.359950542
-33327,-45730,-4832,-1483,0.359950542
-33327,-45730,-4832,-1483,0.359950542
-34181,-45688,-4654,-832,0.359950542
-34181,-45688,-4654,-832,0.359950542
-34979,-45618,-4475,-378,0.359950542
-34979,-45618,-4475,-378,0.359950542
-35729,-45502,-4264,0,0.359950542
-35729,-45502,-4264,0,0.359950542
-36450,-45375,-4031,301,0.359950542
-36450,-45375,-4031,301,0.359950542
-37144,-45245,-3817,485,0.359950542
-37144,-45245,-3817,485,0.359950542
-37785,-45111,-3606,576,0.359950542
-37785,-45111,-3606,576,0.359950542
-38368,-44995,-3390,623,0.359950542
-38368,-44995,-3390,623,0.359950542
-38906,-44902,-3177,601,0.359950542
-38906,-44902,-3177,601,0.359950542
-39371,-44811,-2920,564,0.359950542
-39371,-44811,-2920,564,0.349181592
-39771,-44749,-2628,496,0.349181592
-39771,-44749,-2628,496,0.349181592
-40108,-44691,-2324,421,0.349181592
-40108,-44691,-2324,421,0.349181592
-40387,-44664,-2019,331,0.349181592
-40387,-44664,-2019,331,0.349181592
-40619,-44679,-1715,223,0.349181592
-40619,-44679,-1715,223,0.349181592
-40803,-44695,-1435,116,0.349181592
-40803,-44695,-1435,116,0.349181592
-40803,-44695,-1435,116,0.349181592
-41054,-44695,-947,-4,0.349181592
-41054,-44695,-947,-4,0.349181592
