proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-2347,9752,0,-21,0.550311685
-2347,9664,0,-106,0.550311685
-2347,9664,0,-106,0.550311685
-2347,9664,0,-106,0.551276803
-2347,9664,0,-106,0.551276803
-2347,9492,0,-275,0.551276803
-2347,9492,0,-275,0.551276803
-2347,9492,0,-275,0.551276803
-2347,9492,0,-275,0.551276803
-2347,9258,0,-507,0.551276803
-2347,9258,0,-507,0.551276803
-2347,9258,0,-507,0.551276803
-2347,9258,0,-507,0.551276803
-2347,9009,0,-756,0.551276803
-2347,9009,0,-756,0.551276803
-2347,9009,0,-756,0.551276803
-2347,9009,0,-756,0.551276803
-2347,9009,0,-756,0.551276803
-2347,9009,0,-756,0.551276803
-2347,8741,0,-1003,0.551276803
-2347,8741,0,-1003,0.551276803
-2347,8741,0,-1003,0.551276803
-2347,8741,0,-1003,0.551276803
-2350,8416,-2,-1240,0.551276803
-2350,8416,-2,-1240,0.551276803
-2359,8006,-12,-1476,0.551276803
-2359,8006,-12,-1476,0.551276803
-2378,7520,-30,-1729,0.551276803
-2378,7520,-30,-1729,0.551276803
-2417,6978,-69,-2020,0.551276803
-2417,6978,-69,-2020,0.551276803
-2424,6373,-77,-2354,0.551276803
-2424,6373,-77,-2354,0.551276803
-2424,5685,-75,-2715,0.551276803
-2424,5685,-75,-2715,0.551276803
-2425,4891,-66,-3101,0.551276803
-2425,4891,-66,-3101,0.551276803
-2429,3987,-51,-3515,0.551276803
-2429,3987,-51,-3515,0.551276803
-2430,3024,-14,-3937,0.551276803
-2430,3024,-14,-3937,0.551276803
-2422,2022,2,-4335,0.551276803
-2422,2022,2,-4335,0.551276803
-2401,973,22,-4698,0.551276803
-2401,973,22,-4698,0.551276803
-2399,-85,26,-4966,0.551276803
-2399,-85,26,-4966,0.551276803
-2400,-1132,28,-5114,0.551276803
-2400,-1132,28,-5114,0.551276803
-2409,-2173,21,-5194,0.551276803
-2409,-2173,21,-5194,0.551276803
-2412,-3177,10,-5202,0.551276803
-2412,-3177,10,-5202,0.551276803
-2414,-5130,-12,-5051,0.551278353
-2414,-5130,-12,-5051,0.551278353
-2414,-5130,-12,-5051,0.551278353
-2439,-6107,-38,-4980,0.551278353
-2439,-6107,-38,-4980,0.551278353
-2570,-7079,-163,-4908,0.551278353
-2570,-7079,-163,-4908,0.551278353
-2799,-8052,-379,-4874,0.551278353
-2799,-8052,-379,-4874,0.551278353
-3071,-8994,-649,-4844,0.551278353
-3071,-8994,-649,-4844,0.551278353
-3347,-9872,-923,-4743,0.551278353
-3347,-9872,-923,-4743,0.551278353
-3645,-10690,-1196,-4591,0.551278353
-3645,-10690,-1196,-4591,0.551278353
-4001,-11455,-1422,-4386,0.551278353
-4001,-11455,-1422,-4386,0.551278353
-4410,-12162,-1605,-4121,0.551278353
-4410,-12162,-1605,-4121,0.551278353
-4867,-12814,-1787,-3832,0.551278353
