proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-6292,10590,-7,-260,0.554134011
-6294,10590,-13,-260,0.554134011
-6294,10217,-13,-629,0.554134011
-6292,10217,-14,-629,0.554134011
-6292,9730,-14,-1113,0.554134011
-6293,9730,-17,-1113,0.554134011
-6293,9161,-17,-1680,0.554134011
-6312,9161,-36,-1680,0.554134011
-6312,9161,-36,-1680,0.554134011
-6312,8450,-36,-2331,0.554134011
-6585,8450,-281,-2331,0.554134011
-6585,7473,-281,-3096,0.554134011
-7191,7473,-881,-3096,0.554134011
-7191,6180,-881,-4009,0.554134011
-7857,6180,-1548,-4009,0.554134011
-7857,4675,-1548,-5030,0.551195025
-8467,4675,-2160,-5030,0.551195025
-8467,3024,-2160,-6112,0.551195025
-9023,3024,-2700,-6112,0.551195025
-9023,1218,-2700,-7201,0.551195025
-9524,1218,-2938,-7201,0.551195025
-9524,-784,-2938,-8231,0.551195025
-9963,-784,-2778,-8231,0.551195025
-9963,-2959,-2778,-9123,0.551195025
-10335,-2959,-2487,-9123,0.551195025
-10335,-5229,-2487,-9888,0.551195025
-10620,-5229,-2161,-9888,0.551195025
-10620,-5229,-2161,-9888,0.551195025
-10839,-9821,-1825,-11028,0.551195025
-10839,-9821,-1825,-11028,0.551195025
-11008,-12079,-1493,-11289,0.551195025
-11008,-12079,-1493,-11289,0.551195025
-11130,-14289,-1173,-11328,0.551195025
-11130,-14289,-1173,-11328,0.551195025
-11221,-16442,-891,-11213,0.551195025
-11221,-16442,-891,-11213,0.520893931
-11541,-18648,-913,-11117,0.520893931
-11541,-18648,-913,-11117,0.520893931
-12263,-20884,-1407,-11071,0.520893931
-12263,-20884,-1407,-11071,0.520893931
-13201,-23050,-2173,-10978,0.520893931
-13201,-23050,-2173,-10978,0.520893931
-14157,-25124,-3006,-10842,0.520893931
-14157,-25124,-3006,-10842,0.520893931
-15126,-27118,-3883,-10681,0.520893931
-15126,-27118,-3883,-10681,0.520893931
-16210,-29022,-4654,-10387,0.520893931
-16210,-29022,-4654,-10387,0.520893931
-17421,-30849,-5147,-9970,0.520893931
-17421,-30849,-5147,-9970,0.520893931
-18723,-32591,-5511,-9549,0.520893931
-18723,-32591,-5511,-9549,0.520893931
-18723,-32591,-5511,-9549,0.520893931
-21497,-34255,-6358,-9142,0.520893931
-21497,-34255,-6358,-9142,0.520893931
-23041,-35900,-6820,-8789,0.501394033
-23041,-35900,-6820,-8789,0.501394033
-24657,-37554,-7225,-8536,0.501394033
-24657,-37554,-7225,-8536,0.501394033
-26247,-39234,-7518,-8391,0.501394033
-26247,-39234,-7518,-8391,0.501394033
-27873,-40899,-7793,-8306,0.501394033
-27873,-40899,-7793,-8306,0.501394033
-29555,-42515,-8054,-8259,0.501394033
-29555,-42515,-8054,-8259,0.501394033
-31252,-44081,-8209,-8183,0.501394033
-31252,-44081,-8209,-8183,0.501394033
-32974,-45576,-8312,-8025,0.501394033
-32974,-45576,-8312,-8025,0.501394033
-34703,-46995,-8455,-7767,0.501394033
-34703,-46995,-8455,-7767,0.501394033
-36406,-48340,-8533,-7452,0.501394033
-36406,-48340,-8533,-7452,0.501394033
-36406,-48340,-8533,-7452,0.501394033
-38047,-50803,-8494,-6733,0.501394033
-38047,-50803,-8494,-6733,0.468208671
-39633,-51817,-8381,-6257,0.468208671
-39633,-51817,-8381,-6257,0.468208671
-41157,-52581,-8193,-5606,0.468208671
-41157,-52581,-8193,-5606,0.468208671
-42667,-53186,-7966,-4868,0.468208671
-42667,-53186,-7966,-4868,0.468208671
-44138,-53715,-7742,-4121,0.468208671
-44138,-53715,-7742,-4121,0.468208671
-45532,-54184,-7491,-3399,0.468208671
-45532,-54184,-7491,-3399,0.468208671
-46846,-54184,-7222,-3399,0.468208671
-46846,-54565,-7222,-2763,0.468208671
-48082,-54565,-6930,-2763,0.468208671
-48082,-54838,-6930,-2267,0.468208671
-49233,-54838,-6576,-2267,0.468208671
-49233,-55034,-6576,-1857,0.468208671
-50255,-55034,-6126,-1857,0.468208671
-50255,-55186,-6126,-1481,0.468208671
-51108,-55186,-5590,-1481,0.468208671
-51108,-55307,-5590,-1132,0.437977374
-51729,-55307,-4903,-1132,0.437977374
-51729,-55397,-4903,-838,0.437977374
-52179,-55397,-4120,-838,0.437977374
-52179,-55453,-4120,-620,0.437977374
-52536,-55453,-3325,-620,0.437977374
-52536,-55488,-3325,-459,0.437977374
-52830,-55488,-2595,-459,0.437977374
-52830,-55499,-2595,-316,0.437977374
-53027,-55499,-1935,-316,0.437977374
-53027,-55492,-1935,-188,0.437977374
-53115,-55492,-1397,-188,0.437977374
-53115,-55492,-1397,-188,0.437977374
-53132,-55465,-963,-15,0.437977374
-53132,-55465,-963,-15,0.437977374
-53109,-55380,-581,104,0.437977374
-53109,-55380,-581,104,0.437977374
-53105,-55256,-281,240,0.437977374
-53105,-55256,-281,240,0.437977374
