proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-5544,9481,-9,-1407,1.00E-01
-5544,9481,-9,-1407,1.00E-01
-5698,8951,-157,-1907,1.00E-01
-5698,8951,-157,-1907,1.00E-01
-6010,8268,-465,-2446,1.00E-01
-6010,8268,-465,-2446,1.00E-01
-6340,7412,-796,-2987,1.00E-01
-6340,7412,-796,-2987,1.00E-01
-6636,6407,-1092,-3545,1.00E-01
-6636,6407,-1092,-3545,1.00E-01
-6890,5298,-1341,-4162,1.00E-01
-6890,5298,-1341,-4162,1.00E-01
-7100,4117,-1403,-4812,1.00E-01
-7100,4117,-1403,-4812,1.00E-01
-7270,2862,-1267,-5392,1.00E-01
-7270,2862,-1267,-5392,1.00E-01
-7403,1481,-1069,-5915,1.00E-01
-7403,1481,-1069,-5915,1.00E-01
-7505,-32,-876,-6420,1.00E-01
-7505,-32,-876,-6420,1.00E-01
-7578,-1654,-692,-6931,1.00E-01
-7578,-1654,-692,-6931,1.00E-01
-7617,-3337,-524,-7440,1.00E-01
-7617,-3337,-524,-7440,1.00E-01
-7609,-6857,-345,-8324,1.00E-01
-7609,-6857,-345,-8324,1.00E-01
-7575,-8699,-178,-8652,1.00E-01
-7575,-8699,-178,-8652,1.00E-01
-7583,-10556,-79,-8898,1.00E-01
-7583,-10556,-79,-8898,1.00E-01
-7586,-12423,-12,-9075,1.00E-01
-7586,-12423,-12,-9075,1.00E-01
-7585,-14256,32,-9180,1.00E-01
-7585,-14256,32,-9180,1.00E-01
-7652,-16055,-37,-9198,1.00E-01
-7652,-16055,-37,-9198,1.00E-01
-7875,-17796,-289,-9107,1.00E-01
-7875,-17796,-289,-9107,1.00E-01
-8257,-19469,-660,-8921,1.00E-01
-8257,-19469,-660,-8921,1.00E-01
-8756,-21070,-1150,-8659,1.00E-01
-8756,-21070,-1150,-8659,1.00E-01
-9967,-22591,-2295,-8346,1.00E-01
-9967,-22591,-2295,-8346,1.00E-01
-9967,-22591,-2295,-8346,1.00E-01
-10703,-24033,-2811,-7993,1.00E-01
-10703,-24033,-2811,-7993,1.00E-01
-11535,-25398,-3262,-7616,1.00E-01
-11535,-25398,-3262,-7616,1.00E-01
-12441,-26618,-3672,-7166,1.00E-01
-12441,-26618,-3672,-7166,1.00E-01
-13410,-27716,-4075,-6664,1.00E-01
-13410,-27716,-4075,-6664,1.00E-01
-14446,-28731,-4467,-6159,1.00E-01
-14446,-28731,-4467,-6159,1.00E-01
-15558,-29676,-4842,-5661,1.00E-01
-15558,-29676,-4842,-5661,1.00E-01
-16771,-30563,-5222,-5181,1.00E-01
-16771,-30563,-5222,-5181,1.00E-01
-18071,-31397,-5615,-4789,1.00E-01
-18071,-31397,-5615,-4789,1.00E-01
-19408,-32168,-5988,-4462,1.00E-01
-19408,-32168,-5988,-4462,1.00E-01
-20772,-32885,-6316,-4162,1.00E-01
-20772,-32885,-6316,-4162,1.00E-01
-22204,-33550,-6633,-3883,1.00E-01
-22204,-33550,-6633,-3883,1.00E-01
-23674,-34175,-6900,-3619,1.00E-01
-23674,-34175,-6900,-3619,1.00E-01
-25166,-34756,-7088,-3368,1.00E-01
-25166,-34756,-7088,-3368,1.00E-01
-26679,-35293,-7262,-3133,1.00E-01
-26679,-35293,-7262,-3133,1.00E-01
-28226,-35778,-7447,-2902,1.00E-01
-28226,-35778,-7447,-2902,1.00E-01
-29836,-36214,-7627,-2670,1.00E-01
-29836,-36214,-7627,-2670,1.00E-01
-31444,-36608,-7765,-2442,1.00E-01
-31444,-36608,-7765,-2442,1.00E-01
-33032,-36961,-7867,-2213,1.00E-01
-33032,-36961,-7867,-2213,1.00E-01
-34562,-37247,-7887,-1964,1.00E-01
-34562,-37247,-7887,-1964,1.00E-01
-36016,-37410,-7798,-1644,1.00E-01
-36016,-37410,-7798,-1644,1.00E-01
-37402,-37482,-7577,-1280,1.00E-01
-37402,-37482,-7577,-1280,1.00E-01
-38700,-37530,-7266,-933,1.00E-01
-38700,-37530,-7266,-933,1.00E-01
-39899,-37537,-6882,-587,1.00E-01
-39899,-37537,-6882,-587,1.00E-01
-41025,-37521,-6475,-283,1.00E-01
-41025,-37521,-6475,-283,1.00E-01
-42073,-37522,-6070,-114,1.00E-01
-42073,-37522,-6070,-114,1.00E-01
-43048,-37557,-5661,-75,1.00E-01
-43048,-37557,-5661,-75,1.00E-01
-43952,-37629,-5265,-97,1.00E-01
-43952,-37629,-5265,-97,1.00E-01
-44784,-37750,-4894,-210,1.00E-01
-44784,-37750,-4894,-210,1.00E-01
-44784,-37750,-4894,-210,1.00E-01
-45531,-37870,-4519,-345,1.00E-01
-45531,-37870,-4519,-345,1.00E-01
-46172,-37968,-4112,-443,1.00E-01
-46172,-37968,-4112,-443,1.00E-01
-46714,-38080,-3682,-454,1.00E-01
-46714,-38080,-3682,-454,1.00E-01
-47107,-38096,-3174,-349,1.00E-01
-47107,-38096,-3174,-349,1.00E-01
-47366,-38088,-2603,-221,1.00E-01
-47366,-38088,-2603,-221,1.00E-01
-47560,-38083,-2049,-120,1.00E-01
-47560,-38083,-2049,-120,1.00E-01
-47703,-38083,-1547,-50,1.00E-01
-47703,-38083,-1547,-50,1.00E-01
-47796,-38083,-1095,-4,1.00E-01
-47796,-38083,-1095,-4,1.00E-01
