proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-3373,9982,0,-49,0.504413605
-3373,9982,0,-49,0.504413605
-3373,9982,0,12,0.504413605
-3373,9982,0,12,0.504413605
-3373,9980,0,33,0.504413605
-3373,9980,0,33,0.504413605
-3373,9953,0,-29,0.504413605
-3373,9953,0,-29,0.504413605
-3373,9953,0,-29,0.504413605
-3373,9953,0,-29,0.504413605
-3373,9953,0,-29,0.504413605
-3373,9953,0,-29,0.504413605
-3373,9953,0,-29,0.504413605
-3373,9953,0,-29,0.504413605
-3373,9930,0,-51,0.504413605
-3373,9930,0,-51,0.510210276
-3373,9930,0,-51,0.510210276
-3373,9930,0,-51,0.510210276
-3373,9910,0,-71,0.510210276
-3373,9910,0,-71,0.510210276
-3373,9839,0,-139,0.510210276
-3373,9839,0,-139,0.510210276
-3373,9759,0,-216,0.510210276
-3373,9759,0,-216,0.510210276
-3373,9695,0,-258,0.510210276
-3373,9695,0,-258,0.510210276
-3373,9637,0,-293,0.510210276
-3373,9637,0,-293,0.510210276
-3373,9575,0,-334,0.510210276
-3373,9575,0,-334,0.510210276
-3373,9467,0,-372,0.510210276
-3373,9467,0,-372,0.510210276
-3373,9311,0,-446,0.510210276
-3373,9311,0,-446,0.510210276
-3373,9115,0,-577,0.510210276
-3373,9115,0,-577,0.510210276
-3373,8876,0,-758,0.513218164
-3373,8876,0,-758,0.513218164
-3375,8589,-2,-983,0.513218164
-3375,8589,-2,-983,0.513218164
-3379,8238,-6,-1225,0.513218164
-3379,8238,-6,-1225,0.513218164
-3388,7792,-15,-1512,0.513218164
-3388,7792,-15,-1512,0.513218164
-3403,7255,-29,-1854,0.513218164
-3403,7255,-29,-1854,0.513218164
-3446,6652,-72,-2218,0.513218164
-3446,6652,-72,-2218,0.513218164
-3446,6652,-72,-2218,0.513218164
-3615,6011,-234,-2570,0.513218164
-3615,6011,-234,-2570,0.513218164
-3684,5346,-295,-2886,0.513218164
-3684,5346,-295,-2886,0.513218164
-3729,4663,-326,-3126,0.513218164
-3729,4663,-326,-3126,0.513218164
