proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-8536,13707,-2911,2091,0.506263971
-8536,13707,-2911,2091,0.506263971
-8536,13707,-2911,2091,0.506263971
-9305,15173,-3613,2783,0.506263971
-9305,15173,-3613,2783,0.506263971
-10020,16029,-3881,3262,0.506263971
-10020,16029,-3881,3262,0.506263971
-10715,16988,-3848,3818,0.506263971
-10715,16988,-3848,3818,0.506263971
-10715,16988,-3848,3818,0.506263971
-12557,17978,-4016,4263,0.506263971
-12557,17978,-4016,4263,0.506263971
-13559,18973,-4248,4571,0.506263971
-13559,18973,-4248,4571,0.506263971
-14515,20004,-4489,4826,0.506263971
-14515,20004,-4489,4826,0.455513716
-15427,21128,-4709,5094,0.455513716
-15427,21128,-4709,5094,0.455513716
-16346,22302,-4782,5311,0.455513716
-16346,22302,-4782,5311,0.455513716
-17322,23463,-4767,5480,0.455513716
-17322,23463,-4767,5480,0.455513716
-17322,23463,-4767,5480,0.455513716
-18318,25729,-4759,5723,0.455513716
-18318,25729,-4759,5723,0.455513716
-19282,26862,-4766,5734,0.455513716
-19282,26862,-4766,5734,0.455513716
-20191,28018,-4763,5716,0.455513716
-20191,28018,-4763,5716,0.455513716
-20191,28018,-4763,5716,0.455513716
-21903,29142,-4585,5682,0.455513716
-21903,29142,-4585,5682,0.455513716
-21903,29142,-4585,5682,0.455513716
-22756,31220,-4443,5496,0.455513716
-22756,31220,-4443,5496,0.455513716
-23596,32176,-4320,5319,0.364834249
-23596,32176,-4320,5319,0.364834249
-24386,33082,-4198,5067,0.364834249
-24386,33082,-4198,5067,0.364834249
-25121,33940,-4069,4800,0.364834249
-25121,33940,-4069,4800,0.364834249
-25811,34769,-3911,4567,0.364834249
-25811,34769,-3911,4567,0.364834249
-26479,35586,-3725,4369,0.364834249
-26479,35586,-3725,4369,0.364834249
-27107,36406,-3515,4232,0.364834249
-27107,36406,-3515,4232,0.364834249
-27692,37198,-3310,4118,0.364834249
-27692,37198,-3310,4118,0.364834249
-28217,37931,-3099,3998,0.364834249
-28217,37931,-3099,3998,0.364834249
-28669,38621,-2863,3856,0.364834249
-28669,38621,-2863,3856,0.364834249
-29055,39269,-2582,3685,0.364834249
-29055,39269,-2582,3685,0.364834249
-29393,39866,-2291,3465,0.232059836
-29393,39866,-2291,3465,0.232059836
-29679,40420,-1993,3229,0.232059836
-29679,40420,-1993,3229,0.232059836
-29914,40928,-1704,3001,0.232059836
-29914,40928,-1704,3001,0.232059836
-30089,41388,-1425,2772,0.232059836
-30089,41388,-1425,2772,0.232059836
-30198,41795,-1149,2533,0.232059836
-30198,41795,-1149,2533,0.232059836
-30240,42160,-853,2299,0.232059836
-30240,42160,-853,2299,0.232059836
-30103,42487,-434,2073,0.232059836
-30103,42487,-434,2073,0.232059836
-29725,42779,173,1854,0.232059836
-29725,42779,173,1854,0.232059836
-29171,43035,904,1650,0.232059836
-29171,43035,904,1650,0.232059836
-28570,43254,1613,1462,0.232059836
-28570,43254,1613,1462,0.232059836
-27982,43254,2245,1462,0.110287249
-27982,43440,2245,1283,0.110287249
-27408,43440,2689,1283,0.110287249
-27408,43584,2689,1099,0.110287249
-26757,43584,2964,1099,0.110287249
-26757,43651,2964,878,0.110287249
-26022,43651,3143,878,0.110287249
-26022,43566,3143,540,0.110287249
-25279,43566,3287,540,0.110287249
-25279,43364,3287,119,0.110287249
-24568,43364,3412,119,0.110287249
-24568,43149,3412,-283,0.110287249
-23896,43149,3509,-283,0.110287249
-23896,42966,3509,-612,0.110287249
-23279,42966,3480,-612,0.110287249
-23279,42816,3480,-832,0.110287249
-22703,42816,3324,-832,0.110287249
-22703,42816,3324,-832,0.110287249
-22176,42593,3109,-773,0.110287249
-22176,42593,3109,-773,0.110287249
-21688,42454,2884,-695,0.091691971
-21688,42454,2884,-695,0.091691971
-21250,42255,2650,-709,0.091691971
-21250,42255,2650,-709,0.091691971
-21250,42255,2650,-709,0.091691971
-20511,42044,2197,-770,0.091691971
-20511,42044,2197,-770,0.091691971
-20217,41850,1964,-845,0.091691971
-20217,41850,1964,-845,0.091691971
-19972,41650,1722,-941,0.091691971
-19972,41650,1722,-941,0.091691971
-19775,41427,1482,-1026,0.091691971
-19775,41427,1482,-1026,0.091691971
-19628,41193,1230,-1062,0.091691971
-19628,41193,1230,-1062,0.091691971
-19529,40984,988,-1061,0.091691971
-19529,40984,988,-1061,0.091691971
-19459,40800,763,-1050,0.091691971
-19459,40800,763,-1050,0.091691971
-19459,40800,763,-1050,0.091691971
-19435,40517,542,-912,0.119012594
-19435,40517,542,-912,0.119012594
-19443,40420,336,-776,0.119012594
-19443,40420,336,-776,0.119012594
-19444,40344,187,-642,0.119012594
-19444,40344,187,-642,0.119012594
-19443,40316,87,-488,0.119012594
-19443,40316,87,-488,0.119012594
-19443,40346,17,-302,0.119012594
-19443,40346,17,-302,0.119012594
-19443,40367,-8,-153,0.119012594
-19443,40367,-8,-153,0.119012594
-19443,40357,-1,-65,0.119012594
-19443,40357,-1,-65,0.119012594
