proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-10072,14318,-3689,2710,0.489641905
-10072,14318,-3689,2710,0.489641905
-10909,15034,-3779,3106,0.489641905
-10909,15034,-3779,3106,0.489641905
-10909,15034,-3779,3106,0.489641905
-10909,15034,-3779,3106,0.489641905
-11743,15787,-3917,3411,0.489641905
-11743,15787,-3917,3411,0.489641905
-11743,15787,-3917,3411,0.489641905
-11743,15787,-3917,3411,0.489641905
-11743,15787,-3917,3411,0.489641905
-11743,15787,-3917,3411,0.489641905
-12621,16604,-4129,3641,0.489641905
-12621,16604,-4129,3641,0.489641905
-12621,16604,-4129,3641,0.489641905
-12621,16604,-4129,3641,0.489641905
-12621,16604,-4129,3641,0.489641905
-12621,16604,-4129,3641,0.489641905
-13553,17478,-4313,3852,0.489641905
-13553,17478,-4313,3852,0.489641905
-13553,17478,-4313,3852,0.489641905
-14508,19269,-4432,4233,0.489641905
-15474,20167,-4560,4377,0.489641905
-15474,20167,-4560,4377,0.489641905
-15474,20167,-4560,4377,0.489641905
-16452,20167,-4705,4377,0.489641905
-16452,21096,-4705,4492,0.489641905
-17450,21096,-4825,4492,0.489641905
-17450,22004,-4825,4526,0.429198802
-18448,22004,-4894,4526,0.429198802
-18448,22004,-4894,4526,0.429198802
-19423,23802,-4915,4529,0.429198802
-19423,23802,-4915,4529,0.429198802
-20352,24736,-4881,4570,0.429198802
-20352,24736,-4881,4570,0.429198802
-21267,25627,-4817,4532,0.429198802
-21267,25627,-4817,4532,0.429198802
-22173,26485,-4727,4481,0.429198802
-22173,26485,-4727,4481,0.429198802
-23047,27356,-4600,4466,0.429198802
-23047,27356,-4600,4466,0.429198802
-23869,28225,-4453,4425,0.429198802
-23869,28225,-4453,4425,0.429198802
-24643,29072,-4294,4336,0.429198802
-24643,29072,-4294,4336,0.429198802
-25358,29912,-4098,4286,0.429198802
-25358,29912,-4098,4286,0.429198802
-26026,30753,-3858,4271,0.429198802
-26026,30753,-3858,4271,0.335534096
-26651,31550,-3613,4197,0.335534096
-26651,31550,-3613,4197,0.335534096
-27227,32304,-3363,4082,0.335534096
-27227,32304,-3363,4082,0.335534096
-27756,33056,-3121,3987,0.335534096
-27756,33056,-3121,3987,0.335534096
-28236,33786,-2884,3877,0.335534096
-28236,33786,-2884,3877,0.335534096
-28672,34472,-2653,3722,0.335534096
-28672,34472,-2653,3722,0.335534096
-29045,35116,-2400,3571,0.335534096
-29045,35116,-2400,3571,0.335534096
-29375,35749,-2154,3448,0.335534096
-29375,35749,-2154,3448,0.335534096
-29655,36380,-1906,3327,0.335534096
-29655,36380,-1906,3327,0.335534096
-29890,36972,-1660,3189,0.335534096
-29890,36972,-1660,3189,0.335534096
-30081,37522,-1416,3054,0.335534096
-30081,37522,-1416,3054,0.217539012
-30226,38025,-1188,2913,0.217539012
-30226,38025,-1188,2913,0.217539012
-30319,38518,-951,2773,0.217539012
-30319,38518,-951,2773,0.217539012
-30366,39018,-717,2644,0.217539012
-30366,39018,-717,2644,0.217539012
-30369,39488,-485,2520,0.217539012
-30369,39488,-485,2520,0.217539012
-30364,39902,-288,2383,0.217539012
-30364,39902,-288,2383,0.217539012
-30363,40263,-140,2241,0.217539012
-30363,40263,-140,2241,0.217539012
-30354,40581,-37,2069,0.217539012
-30354,40581,-37,2069,0.217539012
-30331,40861,34,1847,0.217539012
-30243,41106,119,1624,0.217539012
-30243,41106,119,1624,0.217539012
-30243,41106,119,1624,0.217539012
-30243,41106,119,1624,0.217539012
-30157,41338,204,1440,0.099543989
-30157,41338,204,1440,0.099543989
-30157,41338,204,1440,0.099543989
-30108,41782,245,1203,0.099543989
-30108,41782,245,1203,0.099543989
-30029,41962,274,1105,0.099543989
-30029,41962,274,1105,0.099543989
-30029,41962,274,1105,0.099543989
-30047,42110,199,1006,0.099543989
-30047,42110,199,1006,0.099543989
-30048,42230,111,896,0.099543989
-30048,42230,111,896,0.099543989
-30040,42327,69,762,0.099543989
-30040,42327,69,762,0.099543989
-30040,42385,21,608,0.099543989
-30040,42385,21,608,0.099543989
-30040,42423,-11,464,0.099543989
-30040,42423,-11,464,0.099543989
-30040,42442,6,336,0.099543989
-30040,42442,6,336,0.099543989
-30040,42442,6,336,0.084808052
-30038,42433,10,108,0.084808052
-30038,42433,10,108,0.084808052
-30038,42432,2,48,0.084808052
-30038,42432,2,48,0.084808052
-30038,42432,2,10,0.084808052
-30038,42432,2,10,0.084808052
-30038,42432,2,-10,0.084808052
-30038,42432,2,-10,0.084808052
-30038,42432,2,3,0.084808052
-30038,42432,2,3,0.084808052
-30038,42432,0,-1,0.084808052
-30038,42432,0,-1,0.084808052
-30037,42432,1,0,0.084808052
-30037,42432,1,0,0.084808052
-30035,42432,3,0,0.084808052
-30035,42432,3,0,0.084808052
-30034,42432,4,0,0.084808052
-30034,42432,4,0,0.084808052
-30033,42432,5,0,0.084808052
-30033,42432,5,0,0.0954566
-30033,42432,4,0,0.0954566
-30033,42432,4,0,0.0954566
-30033,42432,4,0,0.0954566
-30033,42432,2,0,0.0954566
-30033,42432,2,0,0.0954566
-30033,42432,1,0,0.0954566
