proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-7171,12409,-2537,733,-3.31E-06
-7171,12409,-2537,733,-3.31E-06
-7171,12409,-2537,733,-3.31E-06
-7171,12409,-2537,733,-3.31E-06
-7952,12837,-3049,1150,-3.31E-06
-7952,12837,-3049,1150,-3.31E-06
-7952,12837,-3049,1150,-3.31E-06
-8862,14046,-3472,2195,-3.31E-06
-8862,14046,-3472,2195,-3.31E-06
-9840,14046,-3880,2195,-3.31E-06
-10845,14815,-4312,2730,-3.31E-06
-10845,14815,-4312,2730,-3.31E-06
-10845,15647,-4312,3238,-3.31E-06
-10845,15647,-4312,3238,-3.31E-06
-13191,15647,-5237,3238,-3.31E-06
-13191,17506,-5237,4131,-3.31E-06
-14532,17506,-5669,4131,-3.31E-06
-14532,17506,-5669,4131,-3.31E-06
-15903,18546,-6062,4501,-3.31E-06
-15903,18546,-6062,4501,-3.31E-06
-17319,19643,-6476,4827,-3.31E-06
-17319,19643,-6476,4827,-3.31E-06
-18818,20834,-6877,5185,-3.31E-06
-18818,20834,-6877,5185,-3.31E-06
-20362,22130,-7171,5585,-3.31E-06
-20362,22130,-7171,5585,-3.31E-06
-20362,22130,-7171,5585,-3.31E-06
-21926,24977,-7391,6429,-3.31E-06
-21926,24977,-7391,6429,-3.31E-06
-23522,26475,-7620,6833,-3.31E-06
-23522,26475,-7620,6833,-3.31E-06
-25110,28021,-7790,7186,-3.31E-06
-25110,28021,-7790,7186,-3.31E-06
-25110,28021,-7790,7186,-3.31E-06
-28258,29572,-7894,7441,-3.31E-06
-28258,29572,-7894,7441,-3.31E-06
-28258,29572,-7894,7441,-3.31E-06
-29821,32595,-7896,7615,-3.31E-06
-29821,32595,-7896,7615,-3.31E-06
-31320,34032,-7798,7554,-3.31E-06
-31320,34032,-7798,7554,-3.31E-06
-32762,35413,-7650,7392,-3.31E-06
-32762,35413,-7650,7392,-3.31E-06
-34129,35413,-7450,7392,-3.31E-06
-34129,36728,-7450,7154,-3.31E-06
-35426,36728,-7170,7154,-3.31E-06
-35426,37976,-7170,6866,-3.31E-06
-36647,37976,-6828,6866,-3.31E-06
-36647,39160,-6828,6567,-3.31E-06
-37777,39160,-6458,6567,-3.31E-06
-37777,40273,-6458,6243,-3.31E-06
-38827,40273,-6066,6243,-3.31E-06
-38827,41329,-6066,5915,-3.31E-06
-39800,41329,-5671,5915,-3.31E-06
-39800,42313,-5671,5586,-3.31E-06
-40693,42313,-5269,5586,-3.31E-06
-40693,43234,-5269,5261,-3.31E-06
-41507,43234,-4860,5261,-3.31E-06
-41507,44079,-4860,4923,-3.31E-06
-42250,44079,-4474,4923,-3.31E-06
-42250,44785,-4474,4513,-3.31E-06
-42908,44785,-4083,4513,-3.31E-06
-42908,45350,-4083,4024,-3.31E-06
-43358,45350,-3562,4024,-3.31E-06
-43358,45848,-3562,3536,-3.31E-06
-43532,45848,-2841,3536,-3.31E-06
-43532,46294,-2841,3061,-3.31E-06
-43548,46294,-2044,3061,-3.31E-06
-43548,46294,-2044,3061,-3.31E-06
-43519,46701,-1270,2621,-3.31E-06
-43519,46701,-1270,2621,-3.31E-06
-43457,47382,-552,2034,-3.31E-06
-43457,47382,-552,2034,-3.31E-06
-43350,47382,8,2034,-3.31E-06
-43350,47644,8,1797,-3.31E-06
-43072,47644,459,1797,-3.31E-06
-43072,47834,459,1540,-3.31E-06
-42609,47834,938,1540,-3.31E-06
-42609,47931,938,1231,-3.31E-06
-42054,47931,1463,1231,-3.31E-06
-42054,47949,1463,885,-3.31E-06
-41460,47949,1996,885,-3.31E-06
-41460,47949,1996,885,-3.31E-06
-40828,47830,2519,187,-3.31E-06
-40828,47830,2519,187,-3.31E-06
-40105,47656,2965,-176,-3.31E-06
-40105,47656,2965,-176,-3.31E-06
-39292,47656,3316,-176,-3.31E-06
-39292,47391,3316,-539,-3.31E-06
-38442,47391,3612,-539,-3.31E-06
-38442,47059,3612,-889,-3.31E-06
-37590,47059,3869,-889,-3.31E-06
-37590,46700,3869,-1214,-3.31E-06
-36730,46700,4100,-1214,-3.31E-06
-36730,46319,4100,-1508,-3.31E-06
-35846,46319,4258,-1508,-3.31E-06
-35846,45906,4258,-1749,-3.31E-06
-34943,45906,4349,-1749,-3.31E-06
-34943,45906,4349,-1749,-3.31E-06
-34017,44941,4425,-2118,-3.31E-06
-34017,44941,4425,-2118,-3.31E-06
-33064,44417,4526,-2283,-3.31E-06
-33064,44417,4526,-2283,-3.31E-06
-33064,44417,4526,-2283,-3.31E-06
-31152,43874,4696,-2446,-3.31E-06
-31152,43874,4696,-2446,-3.31E-06
-30226,43320,4715,-2587,-3.31E-06
-30226,43320,4715,-2587,-3.31E-06
-29319,42763,4697,-2678,-3.31E-06
-29319,42763,4697,-2678,-3.31E-06
-28413,42220,4652,-2720,-3.31E-06
-28413,42220,4652,-2720,-3.31E-06
