proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-8453.0, 3606.0, -2264.0, -5443.0, 0.5521284341812134
-8867.0, 2104.0, -2266.0, -6088.0, 0.5540643930435181
-8867.0, 2104.0, -2266.0, -6088.0, 0.5540643930435181
-8867.0, 2104.0, -2266.0, -6088.0, 0.5540643930435181
-9264.0, 482.0, -2222.0, -6755.0, 0.5540643930435181
-9264.0, 482.0, -2222.0, -6755.0, 0.5540643930435181
-9648.0, -1258.0, -2132.0, -7428.0, 0.5540643930435181
-9648.0, -1258.0, -2132.0, -7428.0, 0.5540643930435181
-10044.0, -3129.0, -2044.0, -8080.0, 0.5540643930435181
-10044.0, -3129.0, -2044.0, -8080.0, 0.5540643930435181
-10044.0, -3129.0, -2044.0, -8080.0, 0.5540643930435181
-10044.0, -3129.0, -2044.0, -8080.0, 0.5540643930435181
-10044.0, -3129.0, -2044.0, -8080.0, 0.5540643930435181
-10044.0, -3129.0, -2044.0, -8080.0, 0.5540643930435181
-10044.0, -3129.0, -2044.0, -8080.0, 0.5540643930435181
-10441.0, -5097.0, -1990.0, -8677.0, 0.5540643930435181
-10441.0, -5097.0, -1990.0, -8677.0, 0.5540643930435181
-10441.0, -5097.0, -1990.0, -8677.0, 0.5540643930435181
-10441.0, -5097.0, -1990.0, -8677.0, 0.5540643930435181
-10441.0, -5097.0, -1990.0, -8677.0, 0.5540643930435181
-10441.0, -5097.0, -1990.0, -8677.0, 0.5540643930435181
-10843.0, -7158.0, -1976.0, -9236.0, 0.5540643930435181
-10843.0, -7158.0, -1976.0, -9236.0, 0.5540643930435181
-10843.0, -7158.0, -1976.0, -9236.0, 0.5540643930435181
-11266.0, -9265.0, -2001.0, -9733.0, 0.5540643930435181
-11266.0, -9265.0, -2001.0, -9733.0, 0.5540643930435181
-11697.0, -11407.0, -2045.0, -10133.0, 0.5540643930435181
-11697.0, -11407.0, -2045.0, -10133.0, 0.5540643930435181
-12163.0, -15765.0, -2116.0, -10659.0, 0.5540643930435181
-12163.0, -15765.0, -2116.0, -10659.0, 0.5540643930435181
-12663.0, -17937.0, -2221.0, -10776.0, 0.5501925945281982
-12663.0, -17937.0, -2221.0, -10776.0, 0.5501925945281982
-13861.0, -20074.0, -2584.0, -10807.0, 0.5501925945281982
-13861.0, -20074.0, -2584.0, -10807.0, 0.5501925945281982
-14600.0, -22153.0, -2888.0, -10748.0, 0.5501925945281982
-14600.0, -22153.0, -2888.0, -10748.0, 0.5501925945281982
