proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-6182,10719,-8,-996,-3.33E-06
-6182,10719,-8,-996,-3.33E-06
-6182,9098,-8,-2589,-3.33E-06
-6182,9098,-8,-2589,-3.33E-06
-6183,8079,-6,-3488,-3.33E-06
-6183,8079,-6,-3488,-3.33E-06
-6183,8079,-6,-3488,-3.33E-06
-6184,6902,-3,-4339,-3.33E-06
-6184,6902,-3,-4339,-3.33E-06
-6184,5555,-2,-5140,-3.33E-06
-6184,5555,-2,-5140,-3.33E-06
-6184,4081,-2,-5879,-3.33E-06
-6184,4081,-2,-5879,-3.33E-06
-6209,2494,-26,-6585,-3.33E-06
-6209,2494,-26,-6585,-3.33E-06
-6322,799,-134,-7259,-3.33E-06
-6322,799,-134,-7259,-3.33E-06
-6528,-1003,-337,-7890,-3.33E-06
-6528,-1003,-337,-7890,-3.33E-06
-6528,-1003,-337,-7890,-3.33E-06
-6771,-2888,-579,-8427,-3.33E-06
-6771,-2888,-579,-8427,-3.33E-06
-7038,-6730,-845,-9213,-3.33E-06
-7038,-6730,-845,-9213,-3.33E-06
-7342,-8716,-1125,-9504,-3.33E-06
-7342,-8716,-1125,-9504,-3.33E-06
-7712,-10755,-1383,-9741,-3.33E-06
-7712,-10755,-1383,-9741,-3.33E-06
-8731,-12824,-1952,-9934,-3.33E-06
-8731,-12824,-1952,-9934,-3.33E-06
-8731,-12824,-1952,-9934,-3.33E-06
-9365,-14891,-2317,-10088,-3.33E-06
-9365,-14891,-2317,-10088,-3.33E-06
-10075,-16914,-2719,-10184,-3.33E-06
-10075,-16914,-2719,-10184,-3.33E-06
-10879,-18930,-3153,-10218,-3.33E-06
-10879,-18930,-3153,-10218,-3.33E-06
-11793,-20935,-3599,-10184,-3.33E-06
-11793,-20935,-3599,-10184,-3.33E-06
-12802,-22910,-4058,-10087,-3.33E-06
-12802,-22910,-4058,-10087,-3.33E-06
-13887,-24827,-4509,-9946,-3.33E-06
-13887,-24827,-4509,-9946,-3.33E-06
-15039,-26686,-4951,-9773,-3.33E-06
-15039,-26686,-4951,-9773,-3.33E-06
-16240,-28471,-5353,-9551,-3.33E-06
-16240,-28471,-5353,-9551,-3.33E-06
-17507,-30204,-5705,-9279,-3.33E-06
-17507,-30204,-5705,-9279,-3.33E-06
-17507,-30204,-5705,-9279,-3.33E-06
-18815,-31910,-6006,-9013,-3.33E-06
-18815,-31910,-6006,-9013,-3.33E-06
-20138,-33605,-6243,-8782,-3.33E-06
-20138,-33605,-6243,-8782,-3.33E-06
-21442,-36932,-6403,-8462,-3.33E-06
-21442,-36932,-6403,-8462,-3.33E-06
-22761,-38553,-6518,-8351,-3.33E-06
-22761,-38553,-6518,-8351,-3.33E-06
-24096,-40108,-6589,-8201,-3.33E-06
-24096,-40108,-6589,-8201,-3.33E-06
-25414,-41590,-6595,-7991,-3.33E-06
-25414,-41590,-6595,-7991,-3.33E-06
-26694,-41590,-6559,-7991,-3.33E-06
-26694,-42996,-6559,-7733,-3.33E-06
-27948,-42996,-6508,-7733,-3.33E-06
-27948,-44311,-6508,-7391,-3.33E-06
-27948,-44311,-6508,-7391,-3.33E-06
-30336,-45419,-6245,-6884,-3.33E-06
-31443,-46202,-6037,-6121,-3.33E-06
-31443,-46202,-6037,-6121,-3.33E-06
-31443,-46202,-6037,-6121,-3.33E-06
-32496,-46734,-5810,-5175,-3.33E-06
-32496,-46734,-5810,-5175,-3.33E-06
-33509,-47180,-5567,-4213,-3.33E-06
-33509,-47180,-5567,-4213,-3.33E-06
-34464,-47581,-5305,-3294,-3.33E-06
-34464,-47581,-5305,-3294,-3.33E-06
-35363,-47925,-5035,-2527,-3.33E-06
-35363,-47925,-5035,-2527,-3.33E-06
-36202,-48145,-4769,-1955,-3.33E-06
-36202,-48145,-4769,-1955,-3.33E-06
-36202,-48145,-4769,-1955,-3.33E-06
-36956,-48247,-4469,-1523,-3.33E-06
-36956,-48247,-4469,-1523,-3.33E-06
-37625,-48304,-4126,-734,-3.33E-06
-37625,-48304,-4126,-734,-3.33E-06
-38225,-48287,-3769,-370,-3.33E-06
-38225,-48287,-3769,-370,-3.33E-06
-38757,-48271,-3404,-131,-3.33E-06
-38757,-48271,-3404,-131,-3.33E-06
-38757,-48271,-3404,-131,-3.33E-06
