proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-5495,6266,-23,-3334,0.550226986
-5495,6266,-23,-3334,0.550226986
-5495,6266,-23,-3334,0.550226986
-5495,6266,-23,-3334,0.550226986
-6116,5239,-629,-3806,0.550226986
-6116,5239,-629,-3806,0.550226986
-6116,4059,-629,-4412,0.546281219
-6556,4059,-1070,-4412,0.546281219
-6556,2773,-1070,-5070,0.546281219
-6964,2773,-1479,-5070,0.546281219
-6964,1438,-1479,-5673,0.546281219
-7326,1438,-1820,-5673,0.546281219
-7326,1438,-1820,-5673,0.546281219
-7649,61,-1945,-6187,0.546281219
-7649,61,-1945,-6187,0.546281219
-7945,-1376,-1836,-6601,0.546281219
-7945,-1376,-1836,-6601,0.546281219
-8241,-2918,-1690,-6965,0.546281219
-8241,-2918,-1690,-6965,0.546281219
-8602,-4555,-1638,-7315,0.546281219
-8602,-4555,-1638,-7315,0.546281219
-9025,-6280,-1697,-7702,0.546281219
-9025,-6280,-1697,-7702,0.546281219
-9435,-8038,-1783,-8086,0.546281219
-9435,-8038,-1783,-8086,0.546281219
-9810,-9835,-1863,-8447,0.546281219
-9810,-9835,-1863,-8447,0.527778625
-10159,-11684,-1917,-8755,0.527778625
-10159,-11684,-1917,-8755,0.527778625
-10522,-13587,-1920,-9020,0.527778625
-10522,-13587,-1920,-9020,0.527778625
-10924,-15533,-1899,-9247,0.527778625
-10924,-15533,-1899,-9247,0.527778625
-11341,-17491,-1904,-9444,0.527778625
-11341,-17491,-1904,-9444,0.527778625
-11743,-19435,-1930,-9593,0.527778625
-11743,-19435,-1930,-9593,0.527778625
-12125,-21354,-1966,-9666,0.527778625
-12125,-21354,-1966,-9666,0.527778625
-12483,-23206,-1964,-9625,0.527778625
-12483,-23206,-1964,-9625,0.527778625
-12837,-24997,-1915,-9466,0.527778625
-12837,-24997,-1915,-9466,0.527778625
-13193,-26701,-1856,-9222,0.527778625
-13193,-26701,-1856,-9222,0.527778625
-13538,-28332,-1798,-8910,0.527778625
-13538,-28332,-1798,-8910,0.437995553
-13863,-29836,-1738,-8504,0.437995553
-13863,-29836,-1738,-8504,0.437995553
-14155,-31090,-1674,-7913,0.437995553
-14155,-31090,-1674,-7913,0.437995553
-14416,-31992,-1583,-7037,0.437995553
-14416,-31992,-1583,-7037,0.437995553
-14416,-31992,-1583,-7037,0.437995553
-14667,-33266,-1476,-4976,0.437995553
-14667,-33266,-1476,-4976,0.437995553
-15224,-33789,-1365,-3988,0.437995553
-15224,-33789,-1365,-3988,0.437995553
-15224,-33789,-1365,-3988,0.437995553
-15483,-34198,-1329,-3135,0.437995553
-15483,-34198,-1329,-3135,0.437995553
-15706,-34486,-1292,-2515,0.437995553
-15706,-34486,-1292,-2515,0.437995553
-15907,-34683,-1244,-2029,0.437995553
-15907,-34683,-1244,-2029,0.437995553
-16095,-34814,-1155,-1567,0.437995553
-16095,-34814,-1155,-1567,0.34134239
-16272,-34869,-1049,-1098,0.34134239
-16272,-34869,-1049,-1098,0.34134239
-16440,-34855,-960,-671,0.34134239
-16440,-34855,-960,-671,0.34134239
-16593,-34829,-889,-352,0.34134239
-16593,-34829,-889,-352,0.34134239
-16723,-34780,-818,-105,0.34134239
-16723,-34780,-818,-105,0.34134239
-16835,-34705,-743,103,0.34134239
-16835,-34705,-743,103,0.34134239
-16934,-34616,-667,249,0.34134239
-16934,-34616,-667,249,0.34134239
-17022,-34539,-585,315,0.34134239
-17022,-34539,-585,315,0.34134239
-17117,-34463,-526,364,0.34134239
-17117,-34463,-526,364,0.34134239
-17211,-34392,-490,387,0.34134239
-17211,-34392,-490,387,0.34134239
-17290,-34307,-457,397,0.34134239
-17290,-34307,-457,397,0.334577262
-17365,-34212,-431,404,0.334577262
-17365,-34212,-431,404,0.334577262
-17411,-34119,-391,419,0.334577262
-17411,-34119,-391,419,0.334577262
-17464,-34042,-349,422,0.334577262
-17464,-34042,-349,422,0.334577262
-17464,-34042,-349,422,0.334577262
-17502,-33918,-294,391,0.334577262
-17502,-33918,-294,391,0.334577262
-17503,-33858,-215,357,0.334577262
-17503,-33858,-215,357,0.334577262
-17503,-33815,-141,306,0.334577262
-17503,-33815,-141,306,0.334577262
-17505,-33757,-96,284,0.334577262
-17505,-33757,-96,284,0.334577262
-17505,-33703,-43,274,0.334577262
-17505,-33703,-43,274,0.334577262
-17503,-33696,0,224,0.334577262
-17503,-33696,0,224,0.334577262
-17501,-33696,2,163,0.334577262
-17501,-33696,2,163,0.334577262
-17501,-33696,2,163,0.334577262
-17500,-33696,5,120,0.334577262
-17500,-33696,5,120,0.334577262
-17500,-33696,5,64,0.334577262
-17500,-33696,5,64,0.334577262
-17500,-33697,5,8,0.334577262
