proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-6520,12127,2,-4,0.552163124
-6525,12075,-4,-53,0.552163124
-6525,12075,-4,-53,0.552163124
-6526,11897,-5,-228,0.552163124
-6526,11897,-5,-228,0.552163124
-6526,11631,-6,-493,0.552163124
-6526,11631,-6,-493,0.552163124
-6526,11345,-6,-779,0.552163124
-6526,11345,-6,-779,0.552163124
-6526,11029,-6,-1089,0.552128434
-6526,11029,-6,-1089,0.552128434
-6526,10635,-1,-1432,0.552128434
-6526,10635,-1,-1432,0.552128434
-6526,10156,0,-1732,0.552128434
-6526,10156,0,-1732,0.552128434
-6560,10156,-31,-1732,0.552128434
-6560,8985,-31,-2349,0.552128434
-6858,8985,-319,-2349,0.552128434
-6858,8150,-319,-2865,0.552128434
-7432,8150,-890,-2865,0.552128434
-7432,7106,-890,-3510,0.552128434
-8061,7106,-1521,-3510,0.552128434
-8061,5935,-1521,-4206,0.552128434
-8641,5935,-2100,-4206,0.552128434
-8641,4751,-2100,-4859,0.552128434
-8641,4751,-2100,-4859,0.552128434
-9657,3543,-2800,-5429,0.552128434
-9657,3543,-2800,-5429,0.552128434
-10096,2230,-2670,-5905,0.552128434
-10096,2230,-2670,-5905,0.546320796
-10492,785,-2435,-6313,0.546320796
-10492,785,-2435,-6313,0.546320796
-10853,-764,-2218,-6689,0.546320796
-10853,-764,-2218,-6689,0.546320796
-11207,-2372,-2033,-7114,0.546320796
-11207,-2372,-2033,-7114,0.546320796
-11566,-4026,-1912,-7552,0.546320796
-11566,-4026,-1912,-7552,0.546320796
-11931,-5759,-1835,-7983,0.546320796
-11931,-5759,-1835,-7983,0.546320796
-12270,-7572,-1780,-8351,0.546320796
-12270,-7572,-1780,-8351,0.546320796
-12581,-9429,-1729,-8659,0.546320796
-12581,-9429,-1729,-8659,0.546320796
-12891,-11293,-1686,-8914,0.546320796
-12891,-11293,-1686,-8914,0.546320796
-13240,-13156,-1673,-9130,0.546320796
-13240,-13156,-1673,-9130,0.546320796
-13629,-15036,-1697,-9273,0.546320796
-13629,-15036,-1697,-9273,0.536533713
-14060,-16911,-1785,-9335,0.536533713
-14060,-16911,-1785,-9335,0.536533713
-14526,-18772,-1942,-9343,0.536533713
-14526,-18772,-1942,-9343,0.536533713
-14526,-18772,-1942,-9343,0.536533713
-15053,-20604,-2156,-9313,0.536533713
-15053,-20604,-2156,-9313,0.536533713
-15644,-22386,-2399,-9230,0.536533713
-15644,-22386,-2399,-9230,0.536533713
-16317,-24135,-2679,-9100,0.536533713
-16317,-24135,-2679,-9100,0.536533713
-17063,-25843,-2995,-8935,0.536533713
-17063,-25843,-2995,-8935,0.536533713
-17875,-27497,-3338,-8729,0.536533713
-17875,-27497,-3338,-8729,0.536533713
-18739,-29097,-3678,-8495,0.536533713
-18739,-29097,-3678,-8495,0.536533713
-18739,-30633,-3678,-8254,0.536533713
-20639,-30633,-4316,-8254,0.536533713
-20639,-32107,-4316,-7982,0.506282449
-21690,-32107,-4622,-7982,0.506282449
-21690,-33529,-4622,-7697,0.506282449
-22798,-33529,-4918,-7697,0.506282449
-22798,-34905,-4918,-7413,0.506282449
-23928,-34905,-5180,-7413,0.506282449
-23928,-36227,-5180,-7138,0.506282449
-25023,-36227,-5359,-7138,0.506282449
-25023,-37490,-5359,-6866,0.506282449
-26092,-37490,-5451,-6866,0.506282449
-26092,-38720,-5451,-6619,0.506282449
-27206,-38720,-5510,-6619,0.506282449
-27206,-39895,-5510,-6371,0.506282449
-27206,-39895,-5510,-6371,0.506282449
-28345,-41030,-5544,-6131,0.506282449
-28345,-41030,-5544,-6131,0.506282449
-29481,-42105,-5552,-5884,0.506282449
-29481,-42105,-5552,-5884,0.506282449
-30578,-43121,-5555,-5639,0.506282449
-30578,-43121,-5555,-5639,0.506282449
-31642,-44076,-5549,-5362,0.443802655
-31642,-44076,-5549,-5362,0.443802655
-32688,-44975,-5486,-5086,0.443802655
-32688,-44975,-5486,-5086,0.443802655
-33686,-45796,-5346,-4776,0.443802655
-33686,-45796,-5346,-4776,0.443802655
-34624,-46462,-5152,-4372,0.443802655
-34624,-46462,-5152,-4372,0.443802655
-35504,-46892,-4935,-3786,0.443802655
-35504,-46892,-4935,-3786,0.443802655
-36331,-47182,-4697,-3125,0.443802655
-36331,-47182,-4697,-3125,0.443802655
-37106,-47421,-4426,-2463,0.443802655
-37106,-47421,-4426,-2463,0.443802655
-37106,-47421,-4426,-2463,0.443802655
-38494,-47719,-3875,-1270,0.443802655
-38494,-47719,-3875,-1270,0.443802655
-39096,-47702,-3598,-821,0.443802655
-39096,-47702,-3598,-821,0.443802655
-39621,-47649,-3297,-474,0.443802655
-39621,-47649,-3297,-474,0.381339073
-39621,-47649,-3297,-474,0.381339073
-40076,-47629,-2979,-215,0.381339073
-40076,-47629,-2979,-215,0.381339073
-40465,-47581,-2645,21,0.381339073
-40465,-47581,-2645,21,0.381339073
-40803,-47503,-2319,212,0.381339073
-40803,-47503,-2319,212,0.381339073
-41097,-47458,-2009,245,0.381339073
-41097,-47458,-2009,245,0.381339073
-41352,-47406,-1738,243,0.381339073
-41352,-47406,-1738,243,0.381339073
-41575,-47343,-1505,286,0.381339073
-41575,-47343,-1505,286,0.381339073
-41765,-47298,-1305,284,0.381339073
-41765,-47298,-1305,284,0.381339073
-41922,-47226,-1123,277,0.381339073
-41922,-47226,-1123,277,0.381339073
-42047,-47168,-954,290,0.381339073
-42047,-47168,-954,290,0.381339073
-42147,-47144,-800,263,0.378435194
-42147,-47144,-800,263,0.378435194
-42220,-47124,-648,219,0.378435194
-42220,-47124,-648,219,0.378435194
-42294,-47066,-376,162,0.378435194
-42294,-47066,-376,162,0.378435194
-42294,-47066,-376,162,0.378435194
-42310,-47073,-265,96,0.378435194
-42310,-47073,-265,96,0.378435194
-42330,-47082,-185,62,0.378435194
-42330,-47082,-185,62,0.378435194
-42348,-47090,-129,35,0.378435194
-42348,-47090,-129,35,0.378435194
-42348,-47090,-129,35,0.378435194
