proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-6716,12660,0,-27,0.554096103
-6716,12660,0,-27,0.554096103
-6719,12585,-2,-102,0.554096103
-6719,12585,-2,-102,0.554096103
-6719,12423,-3,-262,0.554096103
-6719,12423,-3,-262,0.554096103
-6719,12179,-3,-504,0.554096103
-6707,12179,8,-504,0.554096103
-6707,11863,8,-815,0.554096103
-6664,11863,51,-815,0.554096103
-6664,11488,51,-1167,0.554096103
-6598,11488,116,-1167,0.554096103
-6598,11488,116,-1167,0.554096103
-6548,11036,170,-1543,0.554096103
-6548,11036,170,-1543,0.554096103
-6553,10475,166,-1941,0.554096103
-6553,10475,166,-1941,0.552090168
-6584,9816,124,-2357,0.552090168
-6584,9816,124,-2357,0.552090168
-6584,9816,124,-2357,0.552090168
-6574,8267,26,-3213,0.552090168
-6574,8267,26,-3213,0.552090168
-6574,8267,26,-3213,0.552090168
-6576,7342,-28,-3686,0.552090168
-6576,7342,-28,-3686,0.552090168
-6576,6323,-23,-4144,0.552090168
-6576,6323,-23,-4144,0.552090168
-6576,5235,8,-4576,0.552090168
-6576,5235,8,-4576,0.552090168
-6576,4046,6,-5035,0.552090168
-6576,4046,6,-5035,0.552090168
-6576,2768,-2,-5492,0.552090168
-6576,2768,-2,-5492,0.552090168
-6576,1432,0,-5905,0.552090168
-6576,1432,0,-5905,0.552090168
-6576,29,0,-6289,0.552090168
-6576,29,0,-6289,0.535589576
-6576,-1431,0,-6660,0.535589576
-6576,-1431,0,-6660,0.535589576
-6576,-2967,0,-7007,0.535589576
-6576,-2967,0,-7007,0.535589576
-6576,-4524,0,-7289,0.535589576
-6576,-4524,0,-7289,0.535589576
-6576,-6110,0,-7540,0.535589576
-6576,-6110,0,-7540,0.535589576
-6584,-7726,-8,-7753,0.535589576
-6584,-7726,-8,-7753,0.535589576
-6649,-9391,-71,-7955,0.535589576
-6649,-9391,-71,-7955,0.535589576
-6819,-11105,-239,-8132,0.535589576
-6819,-11105,-239,-8132,0.535589576
-7052,-12827,-472,-8303,0.535589576
-7052,-12827,-472,-8303,0.535589576
-7264,-14520,-686,-8408,0.535589576
-7264,-14520,-686,-8408,0.535589576
-7444,-16152,-857,-8427,0.535589576
-7444,-16152,-857,-8427,0.461430848
-7596,-17730,-947,-8343,0.461430848
-7596,-17730,-947,-8343,0.461430848
-7738,-19273,-921,-8175,0.461430848
-7738,-19273,-921,-8175,0.461430848
-7738,-19273,-921,-8175,0.461430848
-8095,-22267,-830,-7751,0.461430848
-8095,-22267,-830,-7751,0.461430848
-8294,-23675,-851,-7526,0.461430848
-8294,-23675,-851,-7526,0.461430848
-8489,-25016,-893,-7288,0.461430848
-8489,-25016,-893,-7288,0.461430848
-8682,-26282,-943,-7014,0.461430848
-8682,-26282,-943,-7014,0.461430848
-8875,-27485,-972,-6696,0.461430848
-8875,-27485,-972,-6696,0.461430848
-8875,-27485,-972,-6696,0.461430848
-9062,-28615,-966,-6351,0.461430848
-9062,-28615,-966,-6351,0.461430848
-9230,-29613,-935,-5944,0.461430848
-9230,-29613,-935,-5944,0.373626292
-9373,-30444,-884,-5437,0.373626292
-9373,-30444,-884,-5437,0.373626292
-9493,-31102,-813,-4827,0.373626292
-9493,-31102,-813,-4827,0.373626292
-9602,-31651,-729,-4174,0.373626292
-9703,-32132,-644,-3527,0.373626292
-9703,-32132,-644,-3527,0.373626292
-9703,-32132,-644,-3527,0.373626292
-9770,-32566,-542,-2963,0.373626292
-9770,-32566,-542,-2963,0.373626292
-9770,-32566,-542,-2963,0.373626292
-9830,-33278,-458,-2181,0.373626292
-9830,-33278,-458,-2181,0.373626292
-9831,-33562,-230,-1915,0.373626292
-9831,-33562,-230,-1915,0.373626292
-9823,-33800,-121,-1671,0.373626292
-9823,-33800,-121,-1671,0.373626292
-9818,-34002,-49,-1438,0.373626292
-9818,-34002,-49,-1438,0.373626292
-9817,-34159,12,-1215,0.298432648
-9817,-34159,12,-1215,0.298432648
-9817,-34159,12,-1215,0.298432648
-9817,-34231,27,-957,0.298432648
-9817,-34231,27,-957,0.298432648
-9816,-34243,15,-685,0.298432648
-9816,-34243,15,-685,0.298432648
-9816,-34241,7,-445,0.298432648
-9816,-34241,7,-445,0.298432648
-9816,-34242,2,-243,0.298432648
-9816,-34242,2,-243,0.298432648
-9816,-34242,1,-85,0.298432648
-9816,-34242,1,-85,0.298432648
-9816,-34242,1,-12,0.298432648
-9816,-34242,1,-12,0.298432648
-9816,-34242,0,1,0.298432648
-9816,-34242,0,1,0.298432648
-9816,-34242,0,-1,0.298432648
-9816,-34242,0,-1,0.298432648
